Id;País;2007;2007;2008;2008;2009;2009;2010;2010;2011;2011;2012;2012;2013;2013;2014;2014;2015;2015;2016;2016;2017;2017;2018;2018;2019;2019;2020;2020;2021;2021;Quantidade;Valor
88;Nigéria;0;0;7560;10920;41;115;0;0;54;210;6449;10196;1350;2245;0;0;0;0;0;0;0;0;5175;6250;28437;38555;12094;26514;68247;113172;129407;208177
89;Noruega;10044;10044;0;0;0;0;0;0;10268;78688;5104;31515;2375;19008;7179;50464;1058;6021;0;0;0;0;1295;9847;628;3139;1859;15134;1878;8320;41688;232180
90;Nova Caledônia;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7227;11924;7227;11924
91;Nova Zelândia;0;0;0;0;0;0;0;0;2587;7992;2364;8817;1004;4092;2800;13675;809;3476;504;9472;1678;8140;969;5565;500;2832;95;515;657;10477;13967;75053
92;Países Baixos;181046;364751;340412;783635;171654;136991;87368;302182;125414;395356;134879;539641;57792;255690;165289;773767;44987;186464;42953;190203;0;0;9451;32395;44882;148031;248;1532;3791;8484;1410166;4119122
93;Panamá;810;1030;1161;1882;24;30;0;0;0;0;39;2262;0;0;0;0;0;0;0;0;0;0;1183;3117;7918;29017;10821;28372;29520;48444;51476;114154
94;Paraguai;1285459;801519;2191901;1374088;486927;392087;510989;449197;240168;276281;354824;428279;481564;680828;521847;908028;495428;741370;985739;1655417;2393468;4274650;3234168;5494321;2419537;3826587;3299013;3869243;6522527;7192362;25423559;32364257
95;Peru;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5193;19372;9755;17310;0;0;9720;17107;24668;53789
96;Polônia;0;0;20290;58353;6982;35797;20464;95198;11732;50684;21663;89158;19249;90960;30181;107957;11654;42781;11457;35402;0;0;720;4679;5;11;74;86;4;14;154475;611080
97;Porto Rico;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
98;Portugal;109074;165282;49090;48942;141000;168923;4577;18970;95;1031;47172;47022;23810;17627;71544;79141;47736;42586;0;0;0;0;0;0;18328;72413;7958;34518;6358;42633;526742;739088
99;Quênia;10600;13860;0;0;0;0;0;0;0;0;94;458;6;4;0;0;0;0;0;0;0;0;6771;31225;0;0;0;0;0;0;17471;45547
100;Reino Unido;84613;144244;100097;155076;30092;68788;123624;295690;122629;285642;82937;334856;59161;305005;305807;1373747;68382;308407;117044;536681;60711;242883;67708;296827;34295;164592;22913;82722;25316;122394;1305329;4717554
101;República Dominicana;601;2438;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;601;2438
102;Rússia;266400;173160;6207658;2352768;21912914;5732280;0;0;0;0;4528176;2103968;5893291;14795694;190656;61440;47664;18240;0;0;0;0;0;0;0;0;1463;8550;181931;312926;39230153;25559026
103;São Tomé e Príncipe;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2184;2357;0;0;0;0;0;0;2184;2357
104;São Vicente e Granadinas;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8;48;8;48
105;Senegal;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
106;Serra Leoa;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;18;717;9240;13050;6525;12955;15783;26722
107;Singapura;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4504;14346;4504;14346
108;Suazilândia;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10;24;10;24
